SCHID,LAT,LONG,GEOCODE_STATUS
03050020,42.4806478,-71.0641371,GEOCODED
03050040,42.5074241,-71.0854457,GEOCODED
03050310,42.4999576,-71.0713606,GEOCODED
03050505,42.492582,-71.0479363,GEOCODED
03050810,42.5009282,-71.0782622,GEOCODED
03050820,42.5144429,-71.04218,GEOCODED
03050825,42.5159087,-71.0715128,GEOCODED
03050830,42.5036271,-71.0689635,GEOCODED
03060005,-999.0,-999.0,FAILED
03070002,-999.0,-999.0,FAILED
03070005,-999.0,-999.0,FAILED
03070010,-999.0,-999.0,FAILED
03070015,-999.0,-999.0,FAILED
03070018,-999.0,-999.0,FAILED
03070315,-999.0,-999.0,FAILED
03070505,-999.0,-999.0,FAILED
03070805,-999.0,-999.0,FAILED
03070840,-999.0,-999.0,FAILED
03070860,-999.0,-999.0,FAILED
03080001,42.3940087,-71.2296735,GEOCODED
03080005,42.3669762,-71.2516125,GEOCODED
03080032,42.4040222,-71.2498418,GEOCODED
03080040,42.4027062,-71.2245322,GEOCODED
03080050,42.3822087,-71.2428266,GEOCODED
03080060,42.3805565,-71.2096279,GEOCODED
03080065,42.364961,-71.2293647,GEOCODED
03080404,42.3897167,-71.2392791,GEOCODED
03080415,42.3791898,-71.2336478,GEOCODED
03080505,42.3897167,-71.2392791,GEOCODED
03080515,42.3940087,-71.2296735,GEOCODED
03080805,42.3883602,-71.2361489,GEOCODED
03080815,42.4682327,-71.3042837,GEOCODED
03080820,42.3766337,-71.2153328,GEOCODED
03080840,42.4087774,-71.2298609,GEOCODED
03080850,42.3947704,-71.2545411,GEOCODED
03080851,42.3836423,-71.2083206,GEOCODED
03080865,42.3944501,-71.2168146,GEOCODED
03090020,-999.0,-999.0,FAILED
03090305,-999.0,-999.0,FAILED
03090505,-999.0,-999.0,FAILED
03100017,-999.0,-999.0,FAILED
03100305,-999.0,-999.0,FAILED
03100315,-999.0,-999.0,FAILED
03100505,-999.0,-999.0,FAILED
03100810,-999.0,-999.0,FAILED
03110830,-999.0,-999.0,FAILED
03110840,-999.0,-999.0,FAILED
03120020,-999.0,-999.0,FAILED
03140015,42.3766843,-71.199575,GEOCODED
03140020,42.368418,-71.168415,GEOCODED
03140025,42.3765145,-71.1834972,GEOCODED
03140305,42.3725525,-71.1912578,GEOCODED
03140505,42.3711144,-71.1933995,GEOCODED
03140810,42.3721368,-71.2142526,GEOCODED
03140830,42.3682072,-71.1583023,GEOCODED
03140832,42.3683563,-71.2097501,GEOCODED
03140835,42.3743198,-71.1519018,GEOCODED
03140890,42.3632172,-71.1753987,GEOCODED
03150005,42.3727406,-71.3449543,GEOCODED
03150015,-999.0,-999.0,FAILED
03150020,42.3295912,-71.3469174,GEOCODED
03150025,-999.0,-999.0,FAILED
03150305,-999.0,-999.0,FAILED
03150505,-999.0,-999.0,FAILED
03150820,42.3245893,-71.3497904,GEOCODED
03160015,-999.0,-999.0,FAILED
03160315,-999.0,-999.0,FAILED
03160505,-999.0,-999.0,FAILED
03160815,-999.0,-999.0,FAILED
03160820,-999.0,-999.0,FAILED
03170001,42.3138424,-71.2485884,GEOCODED
03170005,42.3128992,-71.3064802,GEOCODED
03170015,42.3127191,-71.2476704,GEOCODED
03170020,42.3047067,-71.3090659,GEOCODED
03170025,42.2955546,-71.2900555,GEOCODED
03170045,42.3211283,-71.2538593,GEOCODED
03170048,42.3044416,-71.2976801,GEOCODED
03170305,42.3041238,-71.2898198,GEOCODED
03170505,42.3020006,-71.2792876,GEOCODED
03170815,42.2909103,-71.2884814,GEOCODED
